,Brand,Capacity,Door_Type,Cool_type,Star_rating,Digital_inverter,Rating,No_of_rating,No_of_review,Compressor_type,Built_in_stablizer,Product_warranty,Compressor_warranty,Price,Original_price,Discount
326,CANDY,240 L,Double Door,,3 Star,no,4.3,"19,653 Ratings","1,211 Reviews",Reciprocating Compressor,yes,1 Year, 9 ,"₹22,390","₹30,490",26% off
327,Whirlpool,192 L,Single Door, Direct Cool,3 Star,no,4.2,11 Ratings,2 Reviews,Reciprocating Compressor,yes,1 Year, 9 ,"₹16,990","₹21,650",21% off
328,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,4.3,"15,637 Ratings","1,110 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹15,490","₹21,750",28% off
329,Whirlpool,300 L,Triple Door,,,no,4.3,"1,872 Ratings",198 Reviews,Fixed Speed Compressor,yes,1 Year, 10 ,"₹32,990","₹36,700",10% off
330,Godrej,180 L,Single Door, Direct Cool,5 Star,no,4.4,225 Ratings,31 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹15,990","₹19,990",20% off
331,Whirlpool,207 L,Single Door, Direct Cool,5 Star,no,4.3,"65,317 Ratings","4,293 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹18,790","₹25,050",24% off
332,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,,10 Ratings,1 Reviews,Normal Compressor,,, 10 ,"₹17,990","₹23,100",22% off
333,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"19,653 Ratings","1,211 Reviews",,yes,, 8 ,"₹12,790","₹17,000",24% off
334,Liebherr,240 L,Double Door,,2 Star,no,4.5,"3,566 Ratings",237 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹22,990","₹42,170",45% off
335,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,4.3,29 Ratings,1 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹17,740","₹22,250",20% off
